fecha,isla,adr_eur,revpar_eur,grado_ocupacion,month,quarter,is_high_season,revpar_eur_lag_1,revpar_eur_lag_3,revpar_eur_lag_12,revpar_eur_rolling_mean_3,revpar_eur_rolling_mean_12,revpar_eur_yoy_growth
2009-01-01,El Hierro,56.55,8.38,0.1481874447391689,1,1,1,,,,,,
2009-02-01,El Hierro,58.57,10.26,0.1751750042683967,2,1,1,8.38,,,,,
2009-03-01,El Hierro,60.87,11.75,0.1930343354690323,3,1,1,10.26,,,,,
2009-04-01,El Hierro,66.49,21.12,0.3176417506391939,4,2,0,11.75,8.38,,10.13,,
2009-05-01,El Hierro,67.4,14.48,0.2148367952522255,5,2,0,21.12,10.26,,14.376666666666665,,
2009-06-01,El Hierro,66.82,17.95,0.2686321460640526,6,2,0,14.48,11.75,,15.783333333333333,,
2009-07-01,El Hierro,63.51,42.42,0.6679263108171942,7,3,0,17.95,21.12,,17.849999999999998,,
2009-08-01,El Hierro,68.64,36.1,0.5259324009324009,8,3,1,42.42,14.48,,24.95,,
2009-09-01,El Hierro,67.71,25.61,0.3782306897060996,9,3,1,36.1,17.95,,32.156666666666666,,
2009-10-01,El Hierro,58.97,31.45,0.5333220281499067,10,4,0,25.61,42.42,,34.71,,
2009-11-01,El Hierro,56.06,30.67,0.5470924009989298,11,4,1,31.45,36.1,,31.05333333333333,,
2009-12-01,El Hierro,58.77,14.05,0.2390675514718393,12,4,0,30.67,25.61,,29.24333333333333,,
2010-01-01,El Hierro,61.07,15.15,0.2480759783854593,1,1,1,14.05,31.45,8.38,25.389999999999997,22.02,0.8078758949880667
2010-02-01,El Hierro,58.51,14.84,0.2536318578020851,2,1,1,15.15,30.67,10.26,19.956666666666663,22.584166666666665,0.4463937621832359
2010-03-01,El Hierro,56.82,22.77,0.4007391763463569,3,1,1,14.84,14.05,11.75,14.679999999999998,22.965833333333336,0.9378723404255319
2010-04-01,El Hierro,55.96,17.73,0.3168334524660471,4,2,0,22.77,15.15,21.12,17.586666666666662,23.88416666666667,-0.16051136363636365
2010-05-01,El Hierro,57.12,12.16,0.2128851540616246,5,2,0,17.73,14.84,14.48,18.446666666666665,23.60166666666667,-0.16022099447513813
2010-06-01,El Hierro,54.3,16.48,0.3034990791896869,6,2,0,12.16,22.77,17.95,17.55333333333333,23.40833333333333,-0.08189415041782724
2010-07-01,El Hierro,59.96,18.27,0.3047031354236157,7,3,0,16.48,17.73,42.42,15.456666666666665,23.285833333333333,-0.5693069306930694
2010-08-01,El Hierro,59.71,32.87,0.5504940545972199,8,3,1,18.27,12.16,36.1,15.636666666666665,21.27333333333333,-0.08947368421052643
2010-09-01,El Hierro,58.67,25.46,0.4339526163286177,9,3,1,32.87,16.48,25.61,22.540000000000003,21.004166666666666,-0.005857087075361132
2010-10-01,El Hierro,56.86,22.56,0.3967639817094618,10,4,0,25.46,18.27,31.45,25.53333333333333,20.991666666666667,-0.282670906200318
2010-11-01,El Hierro,54.87,17.89,0.3260433752505923,11,4,1,22.56,32.87,30.67,26.963333333333335,20.250833333333333,-0.416693837626345
2010-12-01,El Hierro,62.03,21.8,0.3514428502337579,12,4,0,17.89,25.46,14.05,21.97,19.18583333333333,0.5516014234875445
