fecha,isla,adr_eur,revpar_eur,grado_ocupacion
2009-01-01,El Hierro,56.55,8.38,0.1481874447391689
2009-02-01,El Hierro,58.57,10.26,0.17517500426839677
2009-03-01,El Hierro,60.87,11.75,0.19303433546903237
2009-04-01,El Hierro,66.49,21.12,0.3176417506391939
2009-05-01,El Hierro,67.4,14.48,0.21483679525222552
2009-06-01,El Hierro,66.82,17.95,0.26863214606405267
2009-07-01,El Hierro,63.51,42.42,0.6679263108171942
2009-08-01,El Hierro,68.64,36.1,0.5259324009324009
2009-09-01,El Hierro,67.71,25.61,0.3782306897060996
2009-10-01,El Hierro,58.97,31.45,0.5333220281499067
2009-11-01,El Hierro,56.06,30.67,0.5470924009989298
2009-12-01,El Hierro,58.77,14.05,0.23906755147183936
2010-01-01,El Hierro,61.07,15.15,0.2480759783854593
2010-02-01,El Hierro,58.51,14.84,0.25363185780208514
2010-03-01,El Hierro,56.82,22.77,0.4007391763463569
2010-04-01,El Hierro,55.96,17.73,0.31683345246604716
2010-05-01,El Hierro,57.12,12.16,0.21288515406162467
2010-06-01,El Hierro,54.3,16.48,0.30349907918968694
2010-07-01,El Hierro,59.96,18.27,0.3047031354236157
2010-08-01,El Hierro,59.71,32.87,0.5504940545972199
2010-09-01,El Hierro,58.67,25.46,0.4339526163286177
2010-10-01,El Hierro,56.86,22.56,0.3967639817094618
2010-11-01,El Hierro,54.87,17.89,0.32604337525059235
2010-12-01,El Hierro,62.03,21.8,0.3514428502337579
2011-01-01,El Hierro,63.69,18.26,0.28670120898100176
2011-02-01,El Hierro,57.5,23.58,0.4100869565217391
2011-03-01,El Hierro,61.94,29.52,0.4765902486277042
2011-04-01,El Hierro,60.53,20.86,0.344622501239055
2011-05-01,El Hierro,58.34,18.0,0.30853616729516625
2011-06-01,El Hierro,58.66,16.45,0.28042959427207637
2011-07-01,El Hierro,58.2,24.69,0.42422680412371133
2011-08-01,El Hierro,67.7,41.86,0.6183161004431315
2011-09-01,El Hierro,62.75,25.09,0.3998406374501992
2011-10-01,El Hierro,66.85,25.34,0.3790575916230367
2011-11-01,El Hierro,60.52,18.02,0.297752808988764
2011-12-01,El Hierro,53.33,16.38,0.30714419651228203
2012-01-01,El Hierro,48.49,15.49,0.3194473087234481
2012-02-01,El Hierro,59.32,21.36,0.3600809170600135
2012-03-01,El Hierro,56.34,24.36,0.4323748668796592
2012-04-01,El Hierro,56.17,22.09,0.3932704290546555
2012-05-01,El Hierro,56.13,16.96,0.3021557099590237
2012-06-01,El Hierro,60.04,19.31,0.3216189207195203
2012-07-01,El Hierro,72.09,14.95,0.20737966430850324
2012-08-01,El Hierro,66.42,22.3,0.335742246311352
2012-09-01,El Hierro,67.07,14.04,0.20933353213060982
2012-10-01,El Hierro,49.68,17.9,0.3603059581320451
2012-11-01,El Hierro,65.27,15.16,0.23226597211582659
2012-12-01,El Hierro,70.54,17.11,0.24255741423305924
2013-01-01,El Hierro,55.01,13.11,0.23832030539901836
2013-02-01,El Hierro,54.23,21.91,0.4040199151761018
2013-03-01,El Hierro,66.47,23.86,0.35895892884007824
2013-04-01,El Hierro,52.95,9.32,0.17601510859301228
2013-05-01,El Hierro,51.7,11.18,0.216247582205029
2013-06-01,El Hierro,51.92,14.09,0.27137904468412943
2013-07-01,El Hierro,60.58,22.3,0.3681082865632222
2013-08-01,El Hierro,60.12,22.43,0.37308715901530276
2013-09-01,El Hierro,60.21,16.29,0.27055306427503734
2013-10-01,El Hierro,59.41,22.18,0.37333782191550247
2013-11-01,El Hierro,54.84,18.71,0.3411743253099927
2013-12-01,El Hierro,54.41,18.72,0.34405440176438157
2014-01-01,El Hierro,53.74,18.5,0.3442500930405657
2014-02-01,El Hierro,51.92,23.25,0.44780431432973805
2014-03-01,El Hierro,55.66,19.22,0.34531081566654687
2014-04-01,El Hierro,60.15,16.56,0.2753117206982543
2014-05-01,El Hierro,62.31,16.86,0.2705825710158883
2014-06-01,El Hierro,56.78,20.53,0.3615709756956675
2014-07-01,El Hierro,59.06,25.06,0.42431425668811373
2014-08-01,El Hierro,66.15,35.6,0.5381708238851096
2014-09-01,El Hierro,62.88,22.26,0.35400763358778625
2014-10-01,El Hierro,54.88,20.04,0.36516034985422735
2014-11-01,El Hierro,55.45,26.66,0.48079350766456264
2014-12-01,El Hierro,53.67,17.33,0.32289919880752743
2015-01-01,El Hierro,54.81,18.41,0.3358876117496807
2015-02-01,El Hierro,53.1,17.66,0.33258003766478345
2015-03-01,El Hierro,57.0,19.57,0.3433333333333333
2015-04-01,El Hierro,54.75,16.05,0.29315068493150687
