fecha,isla,turistas
2010-01-01,Fuerteventura,95278.0
2010-02-01,Fuerteventura,97400.0
2010-03-01,Fuerteventura,128303.0
2010-04-01,Fuerteventura,100129.0
2010-05-01,Fuerteventura,105076.0
2010-06-01,Fuerteventura,122108.0
2010-07-01,Fuerteventura,153995.0
2010-08-01,Fuerteventura,164801.0
2010-09-01,Fuerteventura,119596.0
2010-10-01,Fuerteventura,142600.0
2010-11-01,Fuerteventura,138015.0
2010-12-01,Fuerteventura,123656.0
2011-01-01,Fuerteventura,127184.0
2011-02-01,Fuerteventura,157340.0
2011-03-01,Fuerteventura,184317.0
2011-04-01,Fuerteventura,164651.0
2011-05-01,Fuerteventura,121274.0
2011-06-01,Fuerteventura,136470.0
2011-07-01,Fuerteventura,173489.0
2011-08-01,Fuerteventura,174570.0
2011-09-01,Fuerteventura,148838.0
2011-10-01,Fuerteventura,172798.0
2011-11-01,Fuerteventura,147648.0
2011-12-01,Fuerteventura,143325.0
2012-01-01,Fuerteventura,129855.0
2012-02-01,Fuerteventura,134219.0
2012-03-01,Fuerteventura,161407.0
2012-04-01,Fuerteventura,130702.0
2012-05-01,Fuerteventura,104345.0
2012-06-01,Fuerteventura,131647.0
2012-07-01,Fuerteventura,161854.0
2012-08-01,Fuerteventura,164618.0
2012-09-01,Fuerteventura,145999.0
2012-10-01,Fuerteventura,162146.0
2012-11-01,Fuerteventura,125970.0
2012-12-01,Fuerteventura,136403.0
2013-01-01,Fuerteventura,124369.0
2013-02-01,Fuerteventura,126095.0
2013-03-01,Fuerteventura,165347.0
2013-04-01,Fuerteventura,133032.0
2013-05-01,Fuerteventura,120895.0
2013-06-01,Fuerteventura,129710.0
2013-07-01,Fuerteventura,169374.0
2013-08-01,Fuerteventura,179503.0
2013-09-01,Fuerteventura,153879.0
2013-10-01,Fuerteventura,163627.0
2013-11-01,Fuerteventura,153770.0
2013-12-01,Fuerteventura,153530.0
2014-01-01,Fuerteventura,129159.0
2014-02-01,Fuerteventura,134151.0
2014-03-01,Fuerteventura,150579.0
2014-04-01,Fuerteventura,163157.0
2014-05-01,Fuerteventura,144346.0
2014-06-01,Fuerteventura,150548.0
2014-07-01,Fuerteventura,179203.0
2014-08-01,Fuerteventura,192024.0
2014-09-01,Fuerteventura,166908.0
2014-10-01,Fuerteventura,172098.0
2014-11-01,Fuerteventura,153721.0
2014-12-01,Fuerteventura,148723.0
2015-01-01,Fuerteventura,138014.0
2015-02-01,Fuerteventura,146881.0
2015-03-01,Fuerteventura,163841.0
2015-04-01,Fuerteventura,157188.0
2015-05-01,Fuerteventura,145555.0
2015-06-01,Fuerteventura,153760.0
2015-07-01,Fuerteventura,188883.0
2015-08-01,Fuerteventura,208080.0
2015-09-01,Fuerteventura,162151.0
2015-10-01,Fuerteventura,198642.0
2015-11-01,Fuerteventura,153427.0
2015-12-01,Fuerteventura,152353.0
2016-01-01,Fuerteventura,165213.0
2016-02-01,Fuerteventura,172099.0
2016-03-01,Fuerteventura,187836.0
2016-04-01,Fuerteventura,176862.0
2016-05-01,Fuerteventura,167902.0
2016-06-01,Fuerteventura,164897.0
2016-07-01,Fuerteventura,209724.0
2016-08-01,Fuerteventura,202219.0
2016-09-01,Fuerteventura,170461.0
2016-10-01,Fuerteventura,214152.0
2016-11-01,Fuerteventura,168903.0
2016-12-01,Fuerteventura,176658.0
2017-01-01,Fuerteventura,160829.0
2017-02-01,Fuerteventura,170259.0
2017-03-01,Fuerteventura,192202.0
2017-04-01,Fuerteventura,197982.0
2017-05-01,Fuerteventura,168119.0
2017-06-01,Fuerteventura,170914.0
2017-07-01,Fuerteventura,207539.0
2017-08-01,Fuerteventura,205437.0
2017-09-01,Fuerteventura,180225.0
2017-10-01,Fuerteventura,214691.0
2017-11-01,Fuerteventura,172156.0
2017-12-01,Fuerteventura,178296.0
2018-01-01,Fuerteventura,158513.0
2018-02-01,Fuerteventura,164400.0
2018-03-01,Fuerteventura,197649.0
2018-04-01,Fuerteventura,167703.0
2018-05-01,Fuerteventura,157468.0
2018-06-01,Fuerteventura,177300.0
2018-07-01,Fuerteventura,205465.0
2018-08-01,Fuerteventura,200473.0
2018-09-01,Fuerteventura,177689.0
2018-10-01,Fuerteventura,203127.0
2018-11-01,Fuerteventura,150608.0
2018-12-01,Fuerteventura,163682.0
2019-01-01,Fuerteventura,145725.0
2019-02-01,Fuerteventura,139866.0
2019-03-01,Fuerteventura,178353.0
2019-04-01,Fuerteventura,169166.0
2019-05-01,Fuerteventura,137881.0
2019-06-01,Fuerteventura,157157.0
2019-07-01,Fuerteventura,168962.0
2019-08-01,Fuerteventura,170839.0
2019-09-01,Fuerteventura,151909.0
2019-10-01,Fuerteventura,173568.0
2019-11-01,Fuerteventura,151243.0
2019-12-01,Fuerteventura,150277.0
2020-01-01,Fuerteventura,131210.0
2020-02-01,Fuerteventura,161529.0
2020-03-01,Fuerteventura,68814.0
2020-06-01,Fuerteventura,557.0
2020-07-01,Fuerteventura,52124.0
2020-08-01,Fuerteventura,72176.0
2020-09-01,Fuerteventura,24563.0
2020-10-01,Fuerteventura,27413.0
2020-11-01,Fuerteventura,28609.0
2020-12-01,Fuerteventura,33539.0
2021-01-01,Fuerteventura,17731.0
2021-02-01,Fuerteventura,12322.0
2021-03-01,Fuerteventura,21254.0
2021-04-01,Fuerteventura,22037.0
2021-05-01,Fuerteventura,37299.0
2021-06-01,Fuerteventura,52324.0
2021-07-01,Fuerteventura,102178.0
2021-08-01,Fuerteventura,134195.0
2021-09-01,Fuerteventura,114754.0
2021-10-01,Fuerteventura,166728.0
2021-11-01,Fuerteventura,155070.0
2021-12-01,Fuerteventura,133880.0
2022-01-01,Fuerteventura,96901.0
2022-02-01,Fuerteventura,139956.0
2022-03-01,Fuerteventura,161077.0
2022-04-01,Fuerteventura,175769.0
2022-05-01,Fuerteventura,152060.0
2022-06-01,Fuerteventura,165486.0
2022-07-01,Fuerteventura,199724.0
2022-08-01,Fuerteventura,202066.0
2022-09-01,Fuerteventura,176586.0
2022-10-01,Fuerteventura,206242.0
2022-11-01,Fuerteventura,182869.0
2022-12-01,Fuerteventura,198759.0
2023-01-01,Fuerteventura,170697.0
2023-02-01,Fuerteventura,183123.0
2023-03-01,Fuerteventura,206021.0
2023-04-01,Fuerteventura,194775.0
2023-05-01,Fuerteventura,164027.0
2023-06-01,Fuerteventura,171601.0
2023-07-01,Fuerteventura,194625.0
2023-08-01,Fuerteventura,193020.0
2023-09-01,Fuerteventura,181168.0
2023-10-01,Fuerteventura,203590.0
2023-11-01,Fuerteventura,204080.0
2023-12-01,Fuerteventura,208132.0
2024-01-01,Fuerteventura,194146.0
2024-02-01,Fuerteventura,214692.0
2024-03-01,Fuerteventura,239527.0
2024-04-01,Fuerteventura,191994.0
2024-05-01,Fuerteventura,177360.0
2024-06-01,Fuerteventura,187517.0
2024-07-01,Fuerteventura,208694.0
2024-08-01,Fuerteventura,211185.0
2024-09-01,Fuerteventura,192409.0
2024-10-01,Fuerteventura,220263.0
2024-11-01,Fuerteventura,227149.0
2024-12-01,Fuerteventura,228180.0
2025-01-01,Fuerteventura,212431.0
2025-02-01,Fuerteventura,231700.0
2025-03-01,Fuerteventura,253059.0
2025-04-01,Fuerteventura,223147.0
2025-05-01,Fuerteventura,196762.0
2025-06-01,Fuerteventura,203560.0
2025-07-01,Fuerteventura,239946.0
2025-08-01,Fuerteventura,240012.0
2025-09-01,Fuerteventura,214626.0
2025-10-01,Fuerteventura,238849.0
2025-11-01,Fuerteventura,229818.0
2025-12-01,Fuerteventura,225686.0
2026-01-01,Fuerteventura,210324.0
2026-02-01,Fuerteventura,228043.0
2026-03-01,Fuerteventura,255514.0
2026-04-01,Fuerteventura,203155.0
2026-05-01,Fuerteventura,191364.0
2010-01-01,Gran Canaria,290465.0
2010-02-01,Gran Canaria,276876.0
2010-03-01,Gran Canaria,300470.0
2010-04-01,Gran Canaria,193218.0
2010-05-01,Gran Canaria,190268.0
2010-06-01,Gran Canaria,179519.0
2010-07-01,Gran Canaria,207596.0
2010-08-01,Gran Canaria,234627.0
2010-09-01,Gran Canaria,192234.0
2010-10-01,Gran Canaria,263516.0
2010-11-01,Gran Canaria,289141.0
2010-12-01,Gran Canaria,280934.0
2011-01-01,Gran Canaria,311604.0
2011-02-01,Gran Canaria,291784.0
2011-03-01,Gran Canaria,314244.0
2011-04-01,Gran Canaria,267562.0
2011-05-01,Gran Canaria,194423.0
2011-06-01,Gran Canaria,204571.0
2011-07-01,Gran Canaria,251723.0
2011-08-01,Gran Canaria,261161.0
2011-09-01,Gran Canaria,203398.0
2011-10-01,Gran Canaria,292941.0
2011-11-01,Gran Canaria,304609.0
2011-12-01,Gran Canaria,324162.0
2012-01-01,Gran Canaria,315338.0
2012-02-01,Gran Canaria,313172.0
2012-03-01,Gran Canaria,319085.0
2012-04-01,Gran Canaria,233929.0
2012-05-01,Gran Canaria,199064.0
2012-06-01,Gran Canaria,204062.0
2012-07-01,Gran Canaria,250662.0
2012-08-01,Gran Canaria,259590.0
2012-09-01,Gran Canaria,221021.0
2012-10-01,Gran Canaria,277643.0
2012-11-01,Gran Canaria,302100.0
2012-12-01,Gran Canaria,319370.0
