isla,modelo,fecha_pronostico,revpar_pronosticado_eur,revpar_año_pasado_eur,yoy_growth_pct,nivel_alerta,gap_revpar_eur,adr_aumento_necesario_pct
El Hierro,sarima,2026-02-01,55.4,51.5,7.6,crecimiento,-2.1,-3.9
El Hierro,sarima,2026-03-01,56.2,55.8,0.8,estable,0.2,0.4
El Hierro,sarima,2026-04-01,52.6,55.4,-5.1,alerta_media,5.4,10.3
Fuerteventura,sarima,2026-02-01,104.4,101.7,2.7,estable,2.1,2.0
Fuerteventura,sarima,2026-03-01,111.7,106.9,4.5,estable,-3.2,-2.8
Fuerteventura,sarima,2026-04-01,96.5,91.5,5.5,crecimiento,-3.9,-4.1
Gran Canaria,sarima,2026-02-01,160.2,150.8,6.2,crecimiento,-7.7,-4.8
Gran Canaria,sarima,2026-03-01,153.4,142.5,7.7,crecimiento,-7.2,-4.7
Gran Canaria,sarima,2026-04-01,125.0,113.0,10.6,crecimiento,1.4,1.1
La Gomera,lightgbm,2026-02-01,125.0,122.7,1.9,estable,5.7,4.6
La Gomera,lightgbm,2026-03-01,115.9,112.6,2.9,estable,7.9,6.8
La Gomera,lightgbm,2026-04-01,70.8,80.0,-11.5,alerta_media,19.2,27.1
La Palma,lightgbm,2026-02-01,65.8,62.0,6.1,crecimiento,-0.6,-1.0
La Palma,lightgbm,2026-03-01,63.8,61.0,4.5,estable,1.6,2.5
La Palma,lightgbm,2026-04-01,56.4,46.2,22.2,crecimiento,-3.6,-6.4
Lanzarote,sarima,2026-02-01,136.0,134.5,1.1,estable,-4.6,-3.4
Lanzarote,sarima,2026-03-01,137.1,131.1,4.6,estable,-5.6,-4.1
Lanzarote,sarima,2026-04-01,123.1,120.7,2.0,estable,-3.4,-2.8
Tenerife,sarima,2026-02-01,149.4,135.7,10.2,crecimiento,2.6,1.7
Tenerife,sarima,2026-03-01,145.7,130.2,11.9,crecimiento,0.3,0.2
Tenerife,sarima,2026-04-01,129.0,114.6,12.5,crecimiento,1.3,1.0
